Level,Date and Time,Source,Event ID,Task Category
Information,1/31/2024 4:41:13 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:41:07 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:41:06 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:40:52 PM,Netwtw10,7003,None,7003 - Roam Complete
Information,1/31/2024 4:40:22 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,1/31/2024 4:40:08 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,1/31/2024 4:40:02 PM,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Information,1/31/2024 4:39:47 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:37:32 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,1/31/2024 4:35:34 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:35:34 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:33:41 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:33:40 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Error,1/31/2024 4:33:34 PM,Schannel,36884,None,"The certificate received from the remote server does not contain the expected name. It is therefore not possible to determine whether we are connecting to the correct server. The server name we were expecting is outside-scanner-v6.ff.avast.com. The TLS connection request has failed. The attached data contains the server certificate.
 The SSPI client process is AvastSvc (PID: 4608)."
Information,1/31/2024 4:32:23 PM,Application Popup,26,None,"Application popup: Visual Studio Just-In-Time Debugger : An unhandled win32 exception occurred in [4772] RtkAudUService64.exe. Just-In-Time debugging this exception failed with the following error: No installed debugger has Just-In-Time debugging enabled. In Visual Studio, Just-In-Time debugging can be enabled from Tools/Options/Debugging/Just-In-Time.

Check the documentation index for 'Just-in-time debugging, errors' for more information."
Information,1/31/2024 4:32:22 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: ASUSTeK COMPUTER INC. - System - 3.1.24.0
Information,1/31/2024 4:32:22 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service ASUSSwitch for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:21 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service AsusAppService for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:19 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service ASUSSoftwareManager for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:19 PM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  AsusSAIO
Service File Name:  \SystemRoot\System32\DriverStore\FileRepository\asussci2.inf_amd64_f2eed2fae3b45a67\ASUSSystemAnalysis\AsusSAIO.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,1/31/2024 4:32:19 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service ASUSSystemAnalysis for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:18 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service ASUSSystemDiagnosis for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:16 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service ASUSOptimization for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:14 PM,Microsoft-Windows-UserPnp,20003,(7005),Driver Management has concluded the process to add Service ATKWMIACPIIO for Device Instance ID ACPI\ASUS2018\2&DABA3FF&1 with the following status: 0.
Information,1/31/2024 4:32:11 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: ASUSTeK COMPUTER INC. - System - 3.1.24.0
Information,1/31/2024 4:32:08 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/31/2024 4:31:02 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:48 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:45 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:42 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:39 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:35 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:19 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:12 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:12 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:12 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:12 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:06 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:06 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:06 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:30:06 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 4:30:04 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.msftconnecttest.com timed out after none of the configured DNS servers responded. Client PID 1972.
Information,1/31/2024 4:29:56 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:29:55 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:29:54 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:29:53 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,1/31/2024 4:29:27 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name ntp.msn.com timed out after none of the configured DNS servers responded. Client PID 17508.
